File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/499.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	2 mL Std
Injection Number	2
Position	2
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Calibration Standard
Status	Finished
Injection Date	11/1/2016
Injection Time	9:31:34 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.103452
Signal Max.	17.491462
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.076500	0.010	-0.038607
0.076667	0.010	-0.013329
0.076833	0.010	-0.003551
0.077000	0.010	0.002083
0.077167	0.010	-0.034103
0.077333	0.010	-0.014222
0.077500	0.010	-0.017613
0.077667	0.010	0.005153
0.077833	0.010	-0.027555
0.078000	0.010	-0.043597
0.078167	0.010	-0.046202
0.078333	0.010	-0.024965
0.078500	0.010	-0.013770
0.078667	0.010	-0.018801
0.078833	0.010	-0.040728
0.079000	0.010	-0.018971
0.079167	0.010	-0.022085
0.079333	0.010	-0.041397
0.079500	0.010	-0.013202
0.079667	0.010	-0.042439
0.079833	0.010	-0.019361
0.080000	0.010	-0.025641
0.080167	0.010	-0.028863
0.080333	0.010	-0.016848
0.080500	0.010	-0.043488
0.080667	0.010	-0.041207
0.080833	0.010	-0.042043
0.081000	0.010	-0.029394
0.081167	0.010	-0.014627
0.081333	0.010	-0.032096
0.081500	0.010	-0.024358
0.081667	0.010	-0.046885
0.081833	0.010	-0.072406
0.082000	0.010	-0.028372
0.082167	0.010	-0.035440
0.082333	0.010	-0.032541
0.082500	0.010	-0.033909
0.082667	0.010	-0.039807
0.082833	0.010	-0.041523
0.083000	0.010	-0.053365
0.083167	0.010	-0.023351
0.083333	0.010	-0.022517
0.083500	0.010	-0.006513
0.083667	0.010	-0.044300
0.083833	0.010	-0.028322
0.084000	0.010	-0.036620
0.084167	0.010	-0.008718
0.084333	0.010	-0.016157
0.084500	0.010	-0.017342
0.084667	0.010	-0.066340
0.084833	0.010	-0.048510
0.085000	0.010	-0.045172
0.085167	0.010	-0.034944
0.085333	0.010	-0.041280
0.085500	0.010	-0.046844
0.085667	0.010	-0.027203
0.085833	0.010	-0.038363
0.086000	0.010	0.001975
0.086167	0.010	-0.017393
0.086333	0.010	-0.008653
0.086500	0.010	-0.033866
0.086667	0.010	-0.054049
0.086833	0.010	-0.005601
0.087000	0.010	-0.009411
0.087167	0.010	-0.038474
0.087333	0.010	-0.045088
0.087500	0.010	-0.040745
0.087667	0.010	-0.035782
0.087833	0.010	-0.036923
0.088000	0.010	-0.045350
0.088167	0.010	-0.024816
0.088333	0.010	-0.019544
0.088500	0.010	-0.049473
0.088667	0.010	-0.048131
0.088833	0.010	-0.033778
0.089000	0.010	-0.046523
0.089167	0.010	-0.029958
0.089333	0.010	-0.047894
0.089500	0.010	-0.014781
0.089667	0.010	-0.031094
0.089833	0.010	-0.000352
0.090000	0.010	-0.040910
0.090167	0.010	-0.009603
0.090333	0.010	-0.040474
0.090500	0.010	-0.031297
0.090667	0.010	-0.035510
0.090833	0.010	-0.040325
0.091000	0.010	-0.053558
0.091167	0.010	-0.032971
0.091333	0.010	-0.044079
0.091500	0.010	-0.050867
0.091667	0.010	-0.028996
0.091833	0.010	-0.025595
0.092000	0.010	-0.012129
0.092167	0.010	-0.034086
0.092333	0.010	-0.048217
0.092500	0.010	-0.038852
0.092667	0.010	-0.065796
0.092833	0.010	-0.051660
0.093000	0.010	-0.055053
0.093167	0.010	-0.011700
0.093333	0.010	-0.031448
0.093500	0.010	-0.013871
0.093667	0.010	0.010837
0.093833	0.010	-0.031858
0.094000	0.010	-0.030137
0.094167	0.010	-0.044763
0.094333	0.010	-0.050317
0.094500	0.010	-0.062981
0.094667	0.010	-0.065008
0.094833	0.010	-0.049044
0.095000	0.010	-0.020494
0.095167	0.010	-0.033621
0.095333	0.010	-0.044584
0.095500	0.010	-0.040034
0.095667	0.010	-0.054590
0.095833	0.010	-0.032351
