File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/741.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run2
Injection Number	8
Position	9
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:34:22 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.504593
Signal Max.	93.160667
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.071833	0.010	-1.268385
0.072000	0.010	-1.279185
0.072167	0.010	-1.272759
0.072333	0.010	-1.288037
0.072500	0.010	-1.263133
0.072667	0.010	-1.274394
0.072833	0.010	-1.249904
0.073000	0.010	-1.252467
0.073167	0.010	-1.237210
0.073333	0.010	-1.258032
0.073500	0.010	-1.272987
0.073667	0.010	-1.273346
0.073833	0.010	-1.228640
0.074000	0.010	-1.241528
0.074167	0.010	-1.237863
0.074333	0.010	-1.254069
0.074500	0.010	-1.253623
0.074667	0.010	-1.261533
0.074833	0.010	-1.243931
0.075000	0.010	-1.265434
0.075167	0.010	-1.250451
0.075333	0.010	-1.270698
0.075500	0.010	-1.292197
0.075667	0.010	-1.290461
0.075833	0.010	-1.260323
0.076000	0.010	-1.261164
0.076167	0.010	-1.272454
0.076333	0.010	-1.264621
0.076500	0.010	-1.266586
0.076667	0.010	-1.244967
0.076833	0.010	-1.247003
0.077000	0.010	-1.258695
0.077167	0.010	-1.278527
0.077333	0.010	-1.243439
0.077500	0.010	-1.243596
0.077667	0.010	-1.253241
0.077833	0.010	-1.250559
0.078000	0.010	-1.251747
0.078167	0.010	-1.258941
0.078333	0.010	-1.240101
0.078500	0.010	-1.250639
0.078667	0.010	-1.227460
0.078833	0.010	-1.228968
0.079000	0.010	-1.202942
0.079167	0.010	-1.211556
0.079333	0.010	-1.244295
0.079500	0.010	-1.229489
0.079667	0.010	-1.259928
0.079833	0.010	-1.249874
0.080000	0.010	-1.270056
0.080167	0.010	-1.243350
0.080333	0.010	-1.239310
0.080500	0.010	-1.235006
0.080667	0.010	-1.204061
0.080833	0.010	-1.221308
0.081000	0.010	-1.238263
0.081167	0.010	-1.241502
0.081333	0.010	-1.258120
0.081500	0.010	-1.237274
0.081667	0.010	-1.246706
0.081833	0.010	-1.239264
0.082000	0.010	-1.249542
0.082167	0.010	-1.259105
0.082333	0.010	-1.245269
0.082500	0.010	-1.263691
0.082667	0.010	-1.257571
0.082833	0.010	-1.230973
0.083000	0.010	-1.233892
0.083167	0.010	-1.240374
0.083333	0.010	-1.227785
0.083500	0.010	-1.245481
0.083667	0.010	-1.259849
0.083833	0.010	-1.244821
0.084000	0.010	-1.244851
0.084167	0.010	-1.256871
0.084333	0.010	-1.261480
0.084500	0.010	-1.263288
0.084667	0.010	-1.238360
0.084833	0.010	-1.253279
0.085000	0.010	-1.267329
0.085167	0.010	-1.259152
0.085333	0.010	-1.247221
0.085500	0.010	-1.281916
0.085667	0.010	-1.253406
0.085833	0.010	-1.237618
0.086000	0.010	-1.238479
0.086167	0.010	-1.243139
0.086333	0.010	-1.268291
0.086500	0.010	-1.267253
0.086667	0.010	-1.251397
0.086833	0.010	-1.266316
0.087000	0.010	-1.248519
0.087167	0.010	-1.252949
0.087333	0.010	-1.239313
0.087500	0.010	-1.248021
0.087667	0.010	-1.248174
0.087833	0.010	-1.243799
0.088000	0.010	-1.251435
0.088167	0.010	-1.287027
0.088333	0.010	-1.257481
0.088500	0.010	-1.265914
0.088667	0.010	-1.282397
0.088833	0.010	-1.297360
0.089000	0.010	-1.272321
0.089167	0.010	-1.257807
0.089333	0.010	-1.269218
0.089500	0.010	-1.255765
0.089667	0.010	-1.278757
0.089833	0.010	-1.289716
0.090000	0.010	-1.287801
0.090167	0.010	-1.281444
0.090333	0.010	-1.257603
0.090500	0.010	-1.277047
0.090667	0.010	-1.303292
0.090833	0.010	-1.271073
0.091000	0.010	-1.248077
0.091167	0.010	-1.239744
0.091333	0.010	-1.257200
0.091500	0.010	-1.273592
0.091667	0.010	-1.234538
0.091833	0.010	-1.242119
0.092000	0.010	-1.249007
0.092167	0.010	-1.235667
0.092333	0.010	-1.224657
0.092500	0.010	-1.247558
0.092667	0.010	-1.273531
0.092833	0.010	-1.272928
0.093000	0.010	-1.279539
0.093167	0.010	-1.276964
0.093333	0.010	-1.270486
0.093500	0.010	-1.285076
0.093667	0.010	-1.273543
0.093833	0.010	-1.259344
0.094000	0.010	-1.264370
0.094167	0.010	-1.283424
0.094333	0.010	-1.267690
0.094500	0.010	-1.255951
