File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/652.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run1
Injection Number	7
Position	8
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:23:16 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.471875
Signal Max.	92.659279
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.079167	0.010	-0.710117
0.079333	0.010	-0.721423
0.079500	0.010	-0.757282
0.079667	0.010	-0.724802
0.079833	0.010	-0.746141
0.080000	0.010	-0.732938
0.080167	0.010	-0.736480
0.080333	0.010	-0.721899
0.080500	0.010	-0.714675
0.080667	0.010	-0.721703
0.080833	0.010	-0.706789
0.081000	0.010	-0.725966
0.081167	0.010	-0.740252
0.081333	0.010	-0.731858
0.081500	0.010	-0.726287
0.081667	0.010	-0.744644
0.081833	0.010	-0.752658
0.082000	0.010	-0.720982
0.082167	0.010	-0.738309
0.082333	0.010	-0.713932
0.082500	0.010	-0.759091
0.082667	0.010	-0.738492
0.082833	0.010	-0.742960
0.083000	0.010	-0.704751
0.083167	0.010	-0.709663
0.083333	0.010	-0.708544
0.083500	0.010	-0.701883
0.083667	0.010	-0.705015
0.083833	0.010	-0.743126
0.084000	0.010	-0.717800
0.084167	0.010	-0.718330
0.084333	0.010	-0.723957
0.084500	0.010	-0.751395
0.084667	0.010	-0.744760
0.084833	0.010	-0.737218
0.085000	0.010	-0.745993
0.085167	0.010	-0.751470
0.085333	0.010	-0.710408
0.085500	0.010	-0.726060
0.085667	0.010	-0.725135
0.085833	0.010	-0.716968
0.086000	0.010	-0.754235
0.086167	0.010	-0.755348
0.086333	0.010	-0.736163
0.086500	0.010	-0.717917
0.086667	0.010	-0.705180
0.086833	0.010	-0.715210
0.087000	0.010	-0.726003
0.087167	0.010	-0.738716
0.087333	0.010	-0.748381
0.087500	0.010	-0.744744
0.087667	0.010	-0.763091
0.087833	0.010	-0.723852
0.088000	0.010	-0.711938
0.088167	0.010	-0.768539
0.088333	0.010	-0.752100
0.088500	0.010	-0.748098
0.088667	0.010	-0.707835
0.088833	0.010	-0.735959
0.089000	0.010	-0.717236
0.089167	0.010	-0.733723
0.089333	0.010	-0.712789
0.089500	0.010	-0.732936
