country_name,respid,gender,age,education,corganizedae
liberia,2023132,F,24,6,1
liberia,2023213,F,25,0,1
liberia,2023194,F,40,0,1
liberia,2023192,F,30,7,1
liberia,2023193,F,27,3,1
liberia,2023112,M,58,5,97
liberia,2023161,F,23,6,1
liberia,2023212,M,38,7,1
liberia,2023152,M,26,6,1
liberia,2023113,F,29,0,97
liberia,2023191,M,33,7,1
liberia,2023114,F,26,7,1
liberia,2023153,M,52,5,1
liberia,2023131,F,45,3,1
liberia,2023162,F,46,0,1
liberia,2023151,M,35,8,1
liberia,2023211,M,60,7,1
liberia,2024105,M,39,5,1
liberia,2024104,M,26,6,97
liberia,2024181,M,30,2,1
liberia,2024102,F,25,6,0
liberia,2024184,M,36,6,1
liberia,2024175,F,32,0,97
liberia,2024201,F,47,0,97
liberia,2024202,F,32,2,97
liberia,2024182,M,22,6,1
liberia,2024101,F,41,5,1
liberia,2024204,F,26,0,97
liberia,2024103,F,28,6,0
liberia,2024203,F,22,6,97
liberia,2024173,M,41,6,1
liberia,2024183,M,29,6,1
liberia,2024172,F,24,6,1
liberia,2024171,M,56,6,1
liberia,2024176,M,42,7,1
liberia,2024174,M,45,3,1
liberia,2025128,F,23,5,1
liberia,2025143,M,49,6,1
liberia,2025141,F,39,3,1
liberia,2025181,M,25,6,1
liberia,2025201,F,23,5,97
liberia,2025101,M,32,4,1
liberia,2025142,F,35,2,0
liberia,2025122,F,40,0,1
liberia,2025124,F,49,0,1
liberia,2025125,M,71,4,1
liberia,2025126,F,34,6,0
liberia,2025127,F,35,2,1
liberia,2025121,F,29,4,1
liberia,2025145,M,32,0,0
liberia,2025102,M,26,7,1
liberia,2025171,M,42,6,1
liberia,2025123,M,28,5,1
liberia,2025144,F,28,3,1
liberia,2025202,M,27,6,1
liberia,2026101,M,44,6,1
liberia,2026141,M,22,6,1
liberia,2026129,M,68,5,1
liberia,2026128,F,48,6,1
liberia,2026143,M,51,6,1
liberia,2026122,F,24,0,1
liberia,2026172,M,36,0,1
liberia,2026142,F,41,0,1
liberia,2026201,F,31,6,97
liberia,2026123,M,45,8,1
liberia,2026126,M,42,6,1
liberia,2026202,F,46,2,97
liberia,2026144,M,25,5,1
liberia,2026125,M,27,3,1
liberia,2026124,F,24,6,1
liberia,2026181,F,20,3,0
liberia,2026121,F,28,6,1
liberia,2026127,F,35,0,1
liberia,2026171,M,33,7,1
liberia,2026102,M,20,6,1
liberia,2027173,F,43,7,0
liberia,2027124,M,47,7,1
liberia,2027175,M,32,6,97
liberia,2027122,F,46,5,1
liberia,2027121,M,31,7,1
liberia,2027123,F,45,6,
liberia,2027125,M,38,8,1
liberia,2027174,M,24,6,1
liberia,2027203,F,25,6,1
liberia,2027183,F,26,7,1
liberia,2027182,M,18,6,1
liberia,2027204,F,22,3,97
liberia,2027202,F,44,0,97
liberia,2027201,F,25,6,1
liberia,2027181,M,27,5,1
liberia,2027101,F,26,1,1
liberia,2027172,M,20,5,1
liberia,2027171,M,33,6,97
liberia,2027102,M,75,4,1
liberia,2027103,F,45,5,1
liberia,2028155,F,56,2,1
liberia,2028151,F,19,2,1
liberia,2028161,M,40,4,1
liberia,2028164,M,43,6,1
liberia,2028153,M,39,0,1
liberia,2028113,F,54,2,1
liberia,2028131,F,24,3,1
liberia,2028194,F,47,0,1
